date,open,high,low,close,volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span,switch_komu,price_action,previous_price_action,predicted_trend
2024-07-10,58033.883,59359.434,57178.414,57742.496,26175260526,,,,,57742.496,0,,0.0,Neutral
2024-07-11,57729.891,59299.434,57120.379,57344.914,28707803842,,,,,57344.914,0,,0.0,Neutral
2024-07-12,57341.195,58532.555,56590.176,57899.465,25604805221,,,,,57899.465,0,,0.0,Neutral
2024-07-13,57908.738,59787.078,57796.441,59231.953,17080061806,,,,,59231.953,0,,0.0,Neutral
2024-07-14,59225.25,61329.527,59225.25,60787.793,22223416061,,,,,60787.793,0,,0.0,Neutral
2024-07-15,60815.457,64870.152,60704.93,64870.152,38094526099,,,,,64870.152,0,,0.0,Neutral
2024-07-16,64784.418,65354.34,62487.969,65097.148,41617346768,,,,,65097.148,0,,0.0,Neutral
2024-07-17,65091.832,66066.734,63896.086,64118.793,32525071311,,,,,64118.793,0,,0.0,Neutral
2024-07-18,64104.738,65104.66,63246.164,63974.066,27239305337,61328.455,,,,63974.066,0,,0.0,Neutral
2024-07-19,63972.324,67442.641,63329.344,66710.156,37003855410,62016.409,,,,66710.156,0,,0.0,Neutral
2024-07-20,66709.922,67610.734,66299.617,67163.648,19029581250,62100.455,,,,67163.648,0,,0.0,Neutral
2024-07-21,67164.914,68372.906,65842.297,68154.523,26652190004,63084.674,,,,68154.523,0,,0.0,Neutral
2024-07-22,68152.977,68480.062,66611.297,67585.25,42649109453,63852.656,,,,67585.25,0,,0.0,Neutral
2024-07-23,67584.805,67779.016,65484.461,65927.672,35605668666,64592.496,,,,65927.672,0,,0.0,Neutral
2024-07-24,65927.859,67113.984,65146.996,65372.133,27470942309,65484.016,,,,65372.133,0,,0.0,Neutral
2024-07-25,65375.875,66112.422,63473.473,65777.227,38315761670,65863.113,,,,65777.227,0,,0.0,Neutral
2024-07-26,65771.812,68207.602,65743.766,67912.062,30488630457,65863.113,,,,67912.062,0,,0.0,Neutral
2024-07-27,67911.812,69398.508,66705.219,67813.336,34691905492,66363.926,,,,67813.336,0,,0.0,Neutral
2024-07-28,67808.656,68301.852,67085.828,68255.867,18043166945,66435.99,,,,68255.867,0,,0.0,Neutral
2024-07-29,68259.055,69987.539,66532.594,66819.914,40780682628,66730.506,,,,66819.914,0,,0.0,Neutral
2024-07-30,66819.055,66987.672,65323.191,66201.016,31380492109,66730.506,,,,66201.016,0,,0.0,Neutral
2024-07-31,66201.273,66810.211,64532.047,64619.25,31292785994,66730.506,,,,64619.25,0,,0.0,Neutral
2024-08-01,64625.84,65593.242,62248.941,65357.5,40975554494,66118.24,,,,65357.5,0,,0.0,Neutral
2024-08-02,65353.5,65523.223,61184.895,61415.066,43060875727,65586.217,,,,61415.066,0,,0.0,Neutral
2024-08-03,61414.809,62148.371,59836.527,60680.094,31753030589,64912.033,,,,60680.094,0,,0.0,Neutral
2024-08-04,60676.094,61062.988,57210.805,58116.977,31758917219,63599.172,63288.858,63444.015,,58116.977,0,,0.0,Neutral
2024-08-05,58110.297,58268.828,49121.238,53991.457,108991085584,59554.388,59554.388,59554.388,,53991.457,0,,0.0,Neutral
2024-08-06,53991.348,57059.918,53973.273,56034.316,49300484106,59554.388,59554.388,59554.388,,56034.316,0,,0.0,Neutral
2024-08-07,56040.633,57726.883,54620.508,55027.461,41637562185,58054.455,59554.388,58804.422,,55027.461,0,,0.0,Neutral
2024-08-08,55030.027,62673.766,54766.727,61710.137,45298472567,57965.724,59554.388,58760.056,,61710.137,0,,0.0,Neutral
2024-08-09,61728.207,61751.863,59587.859,60880.113,33425553115,57357.24,59554.388,58455.814,,60880.113,0,,0.0,Neutral
2024-08-10,60881.23,61464.512,60287.566,60945.812,15745822278,57322.23,59554.388,58438.31,,60945.812,0,,0.0,Neutral
2024-08-11,60944.891,61778.66,58348.824,58719.484,22759754812,55897.502,59554.388,57725.945,,58719.484,0,57725.945,0.0,Neutral
2024-08-12,58719.395,60680.332,57688.898,59354.516,37078637820,55897.502,59554.388,57725.945,,59354.516,0,57725.945,0.0,Neutral
2024-08-13,59356.207,61572.398,58506.254,60609.566,30327698167,55897.502,59554.388,57725.945,,60609.566,0,57725.945,0.0,Neutral
2024-08-14,60611.051,61687.758,58472.875,58737.27,29961696180,58323.52,59554.388,58938.954,,58737.27,0,57725.945,0.0,Neutral
2024-08-15,58733.262,59838.648,56161.594,57560.098,35682112440,58647.137,59554.388,59100.763,,57560.098,0,57725.945,0.0,Neutral
2024-08-16,57560.273,59847.359,57110.02,58894.105,29350938673,58720.246,59554.388,59137.318,,58894.105,0,57725.945,0.0,Neutral
2024-08-17,58893.531,59694.668,58814.832,59478.973,13589684021,58970.127,59554.388,59262.258,,59478.973,0,57725.945,0.0,Neutral
2024-08-18,59468.133,60262.719,58445.402,58483.965,17740625837,58970.127,59554.388,59262.258,,58483.965,0,57725.945,0.0,Neutral
2024-08-19,58480.711,59612.66,57864.711,59493.453,25911207712,58970.127,59554.388,59262.258,,59493.453,0,57725.945,0.0,Neutral
2024-08-20,59493.453,61396.328,58610.883,59012.793,31613400008,58924.676,59554.388,59239.532,,59012.793,0,57725.945,0.0,Neutral
2024-08-21,59014.988,61834.352,58823.445,61175.191,32731154072,58997.973,59554.388,59276.181,,61175.191,0,57725.945,0.0,Neutral
2024-08-22,61168.316,61408.109,59815.254,60381.914,27625734377,58997.973,59554.388,59276.181,,60381.914,0,57725.945,0.0,Neutral
2024-08-23,60380.953,64947.062,60372.051,64094.355,42530509233,60554.328,59554.388,60054.358,,64094.355,0,57725.945,0.0,Neutral
2024-08-24,64103.871,64513.789,63619.918,64178.992,21430585163,61028.541,58054.455,59541.498,,64178.992,0,57725.945,0.0,Neutral
2024-08-25,64176.367,64996.422,63833.52,64333.543,18827683555,61430.566,57965.724,59698.146,,64333.543,0,57725.945,0.0,Neutral
2024-08-26,64342.227,64489.707,62849.559,62880.66,27682040631,61430.566,57357.24,59393.903,,62880.66,0,57725.945,0.0,Neutral
2024-08-27,62879.707,63210.797,58116.75,59504.133,39103882198,61430.566,57322.23,59376.398,,59504.133,0,57725.945,0.0,Neutral
2024-08-28,59507.926,60236.449,57890.676,59027.625,40289564698,61443.549,57058.83,59251.19,,59027.625,0,57725.945,0.0,Neutral
2024-08-29,59027.469,61184.082,58786.227,59388.18,32224990582,61443.549,57058.83,59251.19,,59388.18,0,57725.945,0.0,Neutral
2024-08-30,59388.602,59896.887,57768.531,59119.477,32292756405,61382.477,57058.83,59220.653,59554.388,59119.477,0,57725.945,0.0,Neutral
2024-08-31,59117.48,59432.594,58768.785,58969.898,12403470760,61382.477,59484.848,60433.662,59554.388,58969.898,1,57725.945,0.0,Neutral
2024-09-01,58969.801,59062.07,57217.824,57325.488,24592449997,61107.123,59808.465,60457.794,59554.388,57325.488,0,57725.945,0.0,Neutral
2024-09-02,57326.969,59403.07,57136.027,59112.48,27036454524,61066.224,59881.574,60473.9,59554.388,59112.48,0,57725.945,0.0,Neutral
2024-09-03,59106.191,59815.059,57425.168,57431.023,26666961053,60812.867,60579.008,60695.938,59554.388,57431.023,0,60695.938,57725.945,Neutral
2024-09-04,57430.348,58511.57,55673.164,57971.539,35627680312,59441.98,60334.793,59888.387,59554.388,57971.539,0,60695.938,57725.945,Neutral
2024-09-05,57971.703,58300.582,55712.453,56160.488,31030280656,58428.623,60334.793,59381.708,59554.388,56160.488,-1,60695.938,57725.945,Neutral
2024-09-06,56160.191,56976.109,52598.699,53948.754,49361693566,56891.39,58797.56,57844.476,59554.388,53948.754,0,60695.938,57725.945,Neutral
2024-09-07,53949.086,54838.145,53740.07,54139.688,19061486526,56247.793,58797.56,57522.677,59554.388,54139.688,0,60695.938,57725.945,Neutral
2024-09-08,54147.934,55300.859,53653.758,54841.566,18268287531,56206.879,58797.56,57502.22,59554.388,54841.566,0,60695.938,57725.945,Neutral
2024-09-09,54851.887,58041.125,54598.434,57019.535,34618096173,56206.879,58797.56,57502.22,59554.388,57019.535,0,60695.938,57725.945,Neutral
2024-09-10,57020.098,58029.977,56419.414,57648.711,28857630507,56206.879,58797.56,57502.22,59554.388,57648.711,0,60695.938,57725.945,Neutral
2024-09-11,57650.289,57991.32,55567.34,57343.172,37049062672,56206.879,58797.56,57502.22,59554.388,57343.172,0,60695.938,57725.945,Neutral
2024-09-12,57343.172,58534.359,57330.102,58127.012,33835707949,55566.529,58797.56,57182.045,59554.388,58127.012,0,57182.045,60695.938,Neutral
2024-09-13,58130.324,60648.023,57650.113,60571.301,32490528356,56623.361,58797.56,57710.461,59554.388,60571.301,0,57182.045,60695.938,Neutral
2024-09-14,60569.117,60656.723,59517.883,60005.121,16428405496,56627.711,58797.56,57712.636,59554.388,60005.121,0,57182.045,60695.938,Neutral
2024-09-15,60000.727,60381.918,58696.309,59182.836,18120960867,57155.24,58797.56,57976.4,59554.388,59182.836,0,57182.045,60695.938,Neutral
2024-09-16,59185.227,59205.512,57501.34,58192.508,32032822113,57155.24,58797.56,57976.4,59554.388,58192.508,0,57182.045,60695.938,Neutral
2024-09-17,58192.508,61316.09,57628.07,60308.539,38075570118,57957.262,58797.56,58377.411,59554.388,60308.539,0,57182.045,60695.938,Neutral
2024-09-18,60309.0,61664.066,59218.254,61649.68,40990702891,58615.703,58797.56,58706.632,59554.388,61649.68,0,57182.045,60695.938,Neutral
2024-09-19,61651.156,63872.441,61609.867,62940.457,42710252573,59719.89,58797.56,59258.726,58054.455,62940.457,1,57182.045,60695.938,Neutral
2024-09-20,62941.426,64119.531,62364.605,63192.977,35177164222,60724.816,58544.203,59634.51,57965.724,63192.977,0,57182.045,60695.938,Neutral
2024-09-21,63184.34,63543.359,62783.105,63394.84,14408616220,60810.436,58359.115,59584.775,57357.24,63394.84,0,57182.045,60695.938,Neutral
2024-09-22,63396.805,63993.422,62440.727,63648.711,20183348802,60810.436,58359.115,59584.775,57322.23,63648.711,0,57182.045,60695.938,Neutral
2024-09-23,63643.102,64733.559,62628.078,63329.801,31400285425,61117.45,58666.129,59891.789,57058.83,63329.801,0,57182.045,60695.938,Neutral
2024-09-24,63326.84,64695.215,62737.418,64301.969,29938335243,61117.45,58666.129,59891.789,57058.83,64301.969,0,57182.045,60695.938,Neutral
2024-09-25,64302.59,64804.504,62945.375,63143.145,25078377700,61216.287,58701.602,59958.944,57058.83,63143.145,0,57182.045,60695.938,Neutral
2024-09-26,63138.547,65790.797,62669.27,65181.02,36873129847,62504.526,59194.748,60849.637,59194.748,65181.02,0,57182.045,60695.938,Neutral
2024-09-27,65180.664,66480.695,64852.992,65790.664,32058813449,64045.281,59539.697,61792.489,59539.697,65790.664,0,57182.045,60695.938,Neutral
2024-09-28,65792.18,66255.531,65458.035,65887.648,15243637984,64422.65,59539.697,61981.174,59539.697,65887.648,0,57182.045,60695.938,Neutral
2024-09-29,65888.898,66069.344,65450.016,65635.305,14788214575,64460.711,59539.697,62000.204,59539.697,65635.305,0,57182.045,60695.938,Neutral
2024-09-30,65634.656,65635.055,62873.617,63329.5,37112957475,64460.711,59539.697,62000.204,59539.697,63329.5,0,57182.045,60695.938,Neutral
2024-10-01,63335.605,64110.98,60189.277,60837.008,50220923500,63334.986,59539.697,61437.342,59539.697,60837.008,0,57182.045,60695.938,Neutral
2024-10-02,60836.324,62357.688,59996.949,60632.785,40762722398,63238.822,60067.227,61653.024,59539.697,60632.785,0,57182.045,60695.938,Neutral
2024-10-03,60632.484,61469.039,59878.805,60759.402,36106447279,63179.75,60067.227,61623.488,59539.697,60759.402,0,57182.045,60695.938,Neutral
2024-10-04,60754.625,62465.992,60459.941,62067.477,29585472513,63179.75,60539.565,61859.657,59539.697,62067.477,0,57182.045,60695.938,Neutral
2024-10-05,62067.609,62371.023,61689.582,62089.949,13305410749,63179.75,61024.018,62101.884,59539.697,62089.949,0,57182.045,60695.938,Bullish
2024-10-06,62084.988,62959.57,61833.148,62818.953,14776233667,63067.168,61024.018,62045.593,59539.697,62818.953,0,57182.045,60695.938,Bullish
2024-10-07,62819.109,64443.707,62152.551,62236.66,34253562610,62974.074,61905.398,62439.736,59539.697,62236.66,0,57182.045,60695.938,Bullish
2024-10-08,62221.645,63174.305,61843.562,62131.969,28134475157,62756.93,61991.018,62373.974,59539.697,62131.969,0,57182.045,60695.938,Bullish
2024-10-09,62131.727,62508.836,60314.613,60582.102,27670982363,62161.256,61991.018,62076.137,59539.697,60582.102,0,57182.045,60695.938,Bullish
2024-10-10,60581.93,61236.723,58895.207,60274.5,30452813570,61669.457,61991.018,61830.237,59539.697,60274.5,0,57182.045,60695.938,Bullish
2024-10-11,60275.461,63400.871,60046.125,62445.09,30327141594,61669.457,61991.018,61830.237,59539.697,62445.09,0,57182.045,60695.938,Bullish
2024-10-12,62444.617,63448.785,62443.27,63193.023,16744110886,61669.457,62054.383,61861.92,59539.697,63193.023,0,57182.045,60695.938,Bullish
2024-10-13,63192.945,63272.652,62035.637,62851.375,18177529690,61669.457,62687.951,62178.704,59539.697,62851.375,0,57182.045,60695.938,Bullish
2024-10-14,62848.398,66482.492,62442.152,66046.125,43706958056,62688.85,62688.85,62688.85,59540.595,66046.125,0,57182.045,60695.938,Bullish
2024-10-15,66050.367,67881.68,64809.195,67041.109,48863870879,63388.443,63388.443,63388.443,60240.189,67041.109,0,57182.045,60695.938,Bullish
2024-10-16,67042.461,68375.289,66758.727,67612.719,38195189534,63635.248,63635.248,63635.248,60486.994,67612.719,0,57182.045,60695.938,Bullish
2024-10-17,67617.078,67912.211,66647.391,67399.836,32790898511,63635.248,63635.248,63635.248,60486.994,67399.836,0,57182.045,60695.938,Bullish
2024-10-18,67419.109,68969.75,67177.82,68418.789,36857165014,63932.478,63932.478,63932.478,60784.224,68418.789,0,57182.045,60695.938,Bullish
2024-10-19,68418.977,68668.008,68024.641,68362.734,14443497908,64507.938,63932.478,64220.208,60784.224,68362.734,0,57182.045,60695.938,Bullish
2024-10-20,68364.18,69359.008,68105.719,69001.703,18975847518,65697.323,64127.108,64912.215,60978.854,69001.703,0,57182.045,60695.938,Bullish
2024-10-21,69002.0,69462.734,66829.852,67367.852,37498611780,65749.185,64178.97,64964.078,61030.716,67367.852,0,57182.045,60695.938,Bullish
2024-10-22,67360.703,67801.578,66581.367,67361.406,31808472566,65952.443,64178.97,65065.707,61030.716,67361.406,0,57182.045,60695.938,Bullish
2024-10-23,67362.375,67402.742,65188.035,66432.195,32263980353,67135.964,64178.97,65657.468,61030.716,66432.195,0,57182.045,60695.938,Bullish
2024-10-24,66653.703,68798.961,66454.102,68161.055,31414428647,67325.384,64178.97,65752.177,61030.716,68161.055,0,57182.045,60695.938,Bullish
2024-10-25,68165.297,68722.156,65521.793,66642.414,41469984306,67325.384,64178.97,65752.177,61030.716,66642.414,0,57182.045,60695.938,Bullish
2024-10-26,66628.734,67317.922,66360.594,67014.695,19588098156,67325.384,64178.97,65752.177,61030.716,67014.695,0,57182.045,60695.938,Bullish
2024-10-27,67023.477,68221.312,66847.227,67929.297,16721307878,67325.384,64178.97,65752.177,61030.716,67929.297,0,57182.045,60695.938,Bullish
2024-10-28,67922.672,70212.266,67535.133,69907.758,38799856657,67700.15,64553.736,66126.943,61933.012,69907.758,0,57182.045,60695.938,Bullish
2024-10-29,69910.047,73577.211,69729.914,72720.492,58541874402,69382.623,66236.209,67809.416,63615.484,72720.492,0,57182.045,60695.938,Bullish
2024-10-30,72715.367,72905.297,71411.734,72339.539,40646637831,69382.623,66236.209,67809.416,64087.822,72339.539,0,57182.045,60695.938,Bullish
2024-10-31,72335.047,72662.312,69590.5,70215.188,40627912076,69382.623,66236.209,67809.416,64572.275,70215.188,0,57182.045,60695.938,Bullish
2024-11-01,70216.898,71559.016,68779.703,69482.469,49989795365,69549.502,66236.209,67892.856,64572.275,69482.469,0,57182.045,60695.938,Bullish
2024-11-02,69486.023,69867.352,69033.719,69289.273,18184612091,69549.502,66236.209,67892.856,65453.656,69289.273,0,57182.045,60695.938,Bullish
2024-11-03,69296.383,69361.656,67482.523,68741.117,34868307655,69968.902,66236.209,68102.556,65539.275,68741.117,0,57182.045,60695.938,Bullish
2024-11-04,68742.133,69433.18,66803.648,67811.508,41184819348,70190.43,66236.209,68213.319,65539.275,67811.508,0,57182.045,60695.938,Bullish
2024-11-05,67811.172,70522.789,67458.867,69359.562,46046889204,70190.43,66811.668,68501.049,65539.275,69359.562,0,57182.045,60695.938,Bullish
2024-11-06,69358.5,76460.156,69322.031,75639.078,118592653963,71631.902,69247.896,70439.899,66980.748,75639.078,0,57182.045,60695.938,Bullish
2024-11-07,75637.086,76943.117,74480.422,75904.859,63467654989,71873.382,69489.377,70681.38,67285.594,75904.859,0,57182.045,60695.938,Bullish
2024-11-08,75902.836,77252.75,75648.742,76545.477,55176858003,72028.199,69847.451,70937.825,68073.978,76545.477,0,57182.045,60695.938,Bullish
2024-11-09,76556.188,76932.766,75773.789,76778.867,29009480361,72028.199,71030.972,71529.586,68073.978,76778.867,0,57182.045,60695.938,Bullish
2024-11-10,76775.547,81474.422,76565.43,80474.188,82570594495,74139.035,73331.228,73735.132,70184.815,80474.188,0,57182.045,60695.938,Bullish
2024-11-11,80471.414,89604.5,80283.25,88701.484,117966845037,78204.074,77396.268,77800.171,74249.854,88701.484,0,57182.045,60695.938,Bullish
2024-11-12,88705.562,89956.883,85155.109,87955.812,133673285375,78380.266,77572.459,77976.362,74426.045,87955.812,0,57182.045,60695.938,Bullish
2024-11-13,87929.969,93434.352,86256.93,90584.164,123559027869,80446.609,79311.194,79878.902,76164.78,90584.164,0,57182.045,60695.938,Bullish
2024-11-14,90574.883,91765.219,86682.812,87250.43,87616705248,81378.192,79311.194,80344.692,76164.78,87250.43,0,57182.045,60695.938,Bullish
2024-11-15,87284.18,91868.742,87124.898,91066.008,78243109518,83957.387,79311.194,81634.29,76164.78,91066.008,0,57182.045,60695.938,Bullish
2024-11-16,91064.367,91763.945,90094.227,90558.477,44333192814,84541.547,79311.194,81926.37,76164.78,90558.477,0,57182.045,60695.938,Bullish
2024-11-17,90558.461,91433.039,88741.664,89845.852,46350159305,84604.07,79311.194,81957.632,76164.78,89845.852,0,57182.045,60695.938,Bullish
2024-11-18,89843.719,92596.789,89393.594,90542.641,75535775084,84999.891,79478.072,82238.982,76164.78,90542.641,0,57182.045,60695.938,Bullish
2024-11-19,90536.812,94002.867,90426.984,92343.789,74521048295,87143.058,79762.33,83452.694,76449.037,92343.789,0,57182.045,60695.938,Bullish
2024-11-20,92341.891,94902.023,91619.5,94339.492,71730956426,90028.566,80631.308,85329.937,76898.615,94339.492,0,57182.045,60695.938,Bullish
2024-11-21,94334.641,99014.219,94132.602,98504.727,106024505582,92635.574,82908.934,87772.254,78954.713,98504.727,0,57182.045,60695.938,Bullish
2024-11-22,98496.43,99655.5,97222.664,98997.664,78473580551,93169.156,83229.574,88199.365,79275.354,98997.664,0,57182.045,60695.938,Bullish
2024-11-23,99006.742,99014.68,97232.891,97777.281,44414644677,93390.199,83229.574,88309.886,79275.354,97777.281,0,57182.045,60695.938,Bullish
2024-11-24,97778.094,98647.18,95788.078,98013.82,51712020623,94198.582,83229.574,88714.078,79275.354,98013.82,0,57182.045,60695.938,Bullish
